Id,Label,Gender
1,Male,M
2,Female,F
3,Dildo,Dildo
4,Female wearing dildo,F wearing dildo
5, true,n/a
6,active,n/a
7,affectionate,n/a
8,alarmed,n/a
9,amorous,n/a
10,amusing,n/a
11,animal,n/a
12,antiquated,n/a
13,apparent,n/a
14,ardent,n/a
15,artificial,n/a
16,asleep,n/a
17,astonished,n/a
18,bare,n/a
19,bashful,n/a
20,beautiful,n/a
21,beautifully-made,n/a
22,beautifully-shaped,n/a
23,bewildered,n/a
24,big,n/a
25,black,n/a
26,blasé,n/a
27,blushing,n/a
28,bold,n/a
29,bright,n/a
30,brimful of mischief,n/a
31,brisk,n/a
32,brown,n/a
33,brutal,n/a
34,burning,n/a
35,busy,n/a
36,carnal,n/a
37,carnation,n/a
38,celestial,n/a
39,charming,n/a
40,clammy,n/a
41,closed,n/a
42,coloured,n/a
43,conscious,n/a
44,constant,n/a
45,content,n/a
46,copious,n/a
47,coralline,n/a
48,coy,n/a
49,crazy,n/a
50,crimson,n/a
51,curious,n/a
52,curly,n/a
53,dainty,n/a
54,daring,n/a
55,dark,n/a
56,dark-lipped,n/a
57,darling,n/a
58,dead,n/a
59,dear,n/a
60,delicious,n/a
61,delighted,n/a
62,delightful,n/a
63,delirious,n/a
64,deprived,n/a
65,developed,n/a
66,disgusted,n/a
67,dissolute,n/a
68,dreadful,n/a
69,dreamy,n/a
70,drooping,n/a
71,dry,n/a
72,eager,n/a
73,ebony,n/a
74,elastic,n/a
75,elderly,n/a
76,enchanting,n/a
77,English,n/a
78,entranced,n/a
79,erect,n/a
80,exact,n/a
81,excited,n/a
82,exhausted,n/a
83,exhilarating,n/a
84,expectant,n/a
85,expensive,n/a
86,experienced,n/a
87,fair,n/a
88,fashionable,n/a
89,fiery,n/a
90,fine,n/a
91,fired,n/a
92,firm,n/a
93,fond,n/a
94,formidable,n/a
95,fortunate,n/a
96,fresh,n/a
97,full,n/a
98,full-grown,n/a
99,fully-equipped,n/a
100,gaping,n/a
101,gay,n/a
102,gentle,n/a
103,glorious,n/a
104,glossy,n/a
105,glowing,n/a
106,glutton,n/a
107,god-like,n/a
108,golden,n/a
109,golden-haired,n/a
110,good,n/a
111,good-looking,n/a
112,gorged,n/a
113,grand,n/a
114,gratified,n/a
115,great,n/a
116,green,n/a
117,growing,n/a
118,half-resisting,n/a
119,handsome,n/a
120,hard,n/a
121,heavenly,n/a
122,heaving,n/a
123,horrid,n/a
124,hot,n/a
125,humble,n/a
126,husbandless,n/a
127,immense,n/a
128,impassioned,n/a
129,impatient,n/a
130,impetuous,n/a
131,impotent,n/a
132,impulsive,n/a
133,India-rubber,n/a
134,inexperienced,n/a
135,inflamed,n/a
136,ingenuous,n/a
137,innocent,n/a
138,jealous,n/a
139,keen,n/a
140,kind,n/a
141,kingly,n/a
142,large,n/a
143,largest,n/a
144,lascivious,n/a
145,licentious,n/a
146,lifeless,n/a
147,light,n/a
148,lithe,n/a
149,little,n/a
150,long,n/a
151,lovely,n/a
152,loving,n/a
153,low,n/a
154,lustful,n/a
155,luxuriant,n/a
156,lymphatic,n/a
157,mad,n/a
158,magic,n/a
159,magnificent,n/a
160,maiden,n/a
161,maidenly,n/a
162,manly,n/a
163,manly-looking,n/a
164,married,n/a
165,mock heroic,n/a
166,modest,n/a
167,moist,n/a
168,monstrous,n/a
169,mossy,n/a
170,mulatto,n/a
171,naked,n/a
172,nasty,n/a
173,nice,n/a
174,nicey,n/a
175,not-repulsive,n/a
176,oblivious,n/a
177,of-the-world,n/a
178,old,n/a
179,on fire,n/a
180,out-of-harmony,n/a
181,particular,n/a
182,passionate,n/a
183,pearly-coloured,n/a
184,picturesque,n/a
185,pink,n/a
186,pious,n/a
187,pleased,n/a
188,pleasing,n/a
189,plump,n/a
190,poetical,n/a
191,polished,n/a
192,poor,n/a
193,pouting,n/a
194,prepared,n/a
195,pretty,n/a
196,prudish,n/a
197,pure,n/a
198,quick,n/a
199,quiet,n/a
200,quivering,n/a
201,rampant,n/a
202,ready,n/a
203,real,n/a
204,red,n/a
205,refined,n/a
206,refreshed,n/a
207,relaxed,n/a
208,respectful,n/a
209,rich,n/a
210,ripe,n/a
211,roseate,n/a
212,rosy,n/a
213,rotten,n/a
214,rough,n/a
215,ruby,n/a
216,ruthless,n/a
217,sanctified,n/a
218,selfish,n/a
219,sensible,n/a
220,sensitive,n/a
221,sensuous,n/a
222,shameless,n/a
223,short,n/a
224,shrewd,n/a
225,silky,n/a
226,silly,n/a
227,slick,n/a
228,small,n/a
229,smart,n/a
230,smiling,n/a
231,snowy,n/a
232,soft,n/a
233,soul-dissolving,n/a
234,sparkling,n/a
235,splendidly-moulded,n/a
236,staring,n/a
237,steadfast,n/a
238,stiff,n/a
239,straight,n/a
240,strange,n/a
241,strong,n/a
242,stupid,n/a
243,subdued,n/a
244,subtle,n/a
245,sufficiently soft,n/a
246,suitable,n/a
247,supple,n/a
248,sweet,n/a
249,swift,n/a
250,taper,n/a
251,tapering,n/a
252,terrible,n/a
253,thankful,n/a
254,thirsty,n/a
255,thunderstruck,n/a
256,tight,n/a
257,timid,n/a
258,timorous,n/a
259,tingling,n/a
260,too good,n/a
261,trembling,n/a
262,tremendous,n/a
263,unbroken,n/a
264,unconscious,n/a
265,undraped,n/a
266,unscrupulous,n/a
267,unsuspecting,n/a
268,unwell,n/a
269,vermillion,n/a
270,vigorous,n/a
271,virgin,n/a
272,voluptuous,n/a
273,warm,n/a
274,wealthy,n/a
275,well-armed,n/a
276,well-informed,n/a
277,well-made,n/a
278,well-to-do,n/a
279,wet,n/a
280,white,n/a
281,wide,n/a
282,wild,n/a
283,witty,n/a
284,wrinkled,n/a
285,young,n/a
