character,anatomy,count,percent,,
Flora McPherson,breasts,8,12.12,,
Flora McPherson,buttocks,3,4.55,,
Flora McPherson,clitoris,3,4.55,,
Flora McPherson,dildo,23,34.85,,
Flora McPherson,labia,1,1.52,,
Flora McPherson,nipples,1,1.52,,
Flora McPherson,pubic hair,2,3.03,,
Flora McPherson,vagina,14,21.21,,
Flora McPherson,vulva,11,16.67,,
Laura Addison,anus,1,2.38,,42
Laura Addison,breasts,3,7.14,,
Laura Addison,buttocks,2,4.76,,
Laura Addison,clitoris,2,4.76,,
Laura Addison,dildo,17,40.48,,
Laura Addison,hymen,2,4.76,,
Laura Addison,labia,1,2.38,,
Laura Addison,mons pubis,1,2.38,,
Laura Addison,pubic hair,4,9.52,,
Laura Addison,vagina,4,9.52,,
Laura Addison,vulva,5,11.9,,
Maud Tromp,anus,2,7.41,,
Maud Tromp,buttocks,4,14.81,,
Maud Tromp,dildo,12,44.44,,
Maud Tromp,hymen,1,3.7,,
Maud Tromp,labia,1,3.7,,
Maud Tromp,vagina,5,18.52,,
Maud Tromp,vulva,2,7.41,,
